"Color.Score","Fragment.ID","Timepoint","Treatment","Species","Genotype","Group"
15.8887611976908,"1491","Day 5","Ambient","Pacuta","P-G5","Day 5 Ambient Pacuta"
-4.37907448207823,"1248","Day 5","Ambient","Pacuta","P-G5","Day 5 Ambient Pacuta"
1.42169728518601,"1283","Day 7","Ambient","Pacuta","P-G5","Day 7 Ambient Pacuta"
6.37138526852781,"1211","Day 3","Ambient","Pacuta","P-G5","Day 3 Ambient Pacuta"
9.17973180467265,"1086","Day 3","Ambient","Pacuta","P-G5","Day 3 Ambient Pacuta"
9.68666663757499,"2200","Day 5","High","Pacuta","P-G5","Day 5 High Pacuta"
-0.186117658878655,"2203","Day 1","High","Pacuta","P-G5","Day 1 High Pacuta"
3.85913795168154,"2018","Day 5","High","Pacuta","P-G5","Day 5 High Pacuta"
-5.10808862088331,"1131","Day 7","High","Pacuta","P-G4","Day 7 High Pacuta"
6.69869600713186,"1547","Day 1","Ambient","Pacuta","P-G4","Day 1 Ambient Pacuta"
11.5977962141011,"1244","Day 5","Ambient","Pacuta","P-G4","Day 5 Ambient Pacuta"
7.06725002305997,"2297","Day 3","Ambient","Pacuta","P-G4","Day 3 Ambient Pacuta"
0.00038678483489496,"1177","Day 1","Ambient","Pacuta","P-G4","Day 1 Ambient Pacuta"
2.8743352627997,"1217","Day 1","High","Pacuta","P-G4","Day 1 High Pacuta"
17.5868070197915,"1820","Day 5","Ambient","Pacuta","P-G4","Day 5 Ambient Pacuta"
-6.11382264171793,"1444","Day 5","High","Pacuta","P-G4","Day 5 High Pacuta"
9.29997256979598,"2013","Day 3","High","Pacuta","P-G4","Day 3 High Pacuta"
-5.78021466409962,"1758","Day 3","High","Pacuta","P-G4","Day 3 High Pacuta"
-5.55761656473827,"1716","Day 7","High","Pacuta","P-G4","Day 7 High Pacuta"
5.34214587222824,"1045","Day 3","Ambient","Pacuta","P-G4","Day 3 Ambient Pacuta"
2.1094468690179,"1718","Day 5","Ambient","Mcapitata","M-G5","Day 5 Ambient Mcapitata"
-6.12003497815889,"2666","Day 3","High","Mcapitata","M-G5","Day 3 High Mcapitata"
-6.6785122187406,"1705","Day 1","Ambient","Mcapitata","M-G5","Day 1 Ambient Mcapitata"
-5.08485212423025,"1300","Day 7","Ambient","Mcapitata","M-G5","Day 7 Ambient Mcapitata"
-6.72455081676981,"1166","Day 1","High","Mcapitata","M-G5","Day 1 High Mcapitata"
-6.75224222800978,"1628","Day 3","Ambient","Mcapitata","M-G5","Day 3 Ambient Mcapitata"
-4.79251929469141,"1723","Day 3","Ambient","Mcapitata","M-G5","Day 3 Ambient Mcapitata"
-3.7732099427583,"1555","Day 7","High","Mcapitata","M-G5","Day 7 High Mcapitata"
-6.54835063966626,"1221","Day 1","High","Mcapitata","M-G5","Day 1 High Mcapitata"
0.0734021667365847,"1336","Day 3","High","Mcapitata","M-G5","Day 3 High Mcapitata"
-5.00848975141932,"1039","Day 5","High","Mcapitata","M-G5","Day 5 High Mcapitata"
-6.66845435576401,"1653","Day 5","High","Mcapitata","M-G5","Day 5 High Mcapitata"
-6.37716789372052,"1176","Day 7","High","Mcapitata","M-G5","Day 7 High Mcapitata"
0.558242678466775,"1046","Day 1","Ambient","Mcapitata","M-G5","Day 1 Ambient Mcapitata"
6.05569833630807,"1067","Day 5","Ambient","Mcapitata","M-G5","Day 5 Ambient Mcapitata"
-6.63493610411057,"2002","Day 3","High","Mcapitata","M-G1","Day 3 High Mcapitata"
-6.34358538348145,"2853","Day 3","Ambient","Mcapitata","M-G1","Day 3 Ambient Mcapitata"
-3.19709708675755,"1749","Day 5","High","Mcapitata","M-G1","Day 5 High Mcapitata"
-4.95650759092402,"1825","Day 7","Ambient","Mcapitata","M-G1","Day 7 Ambient Mcapitata"
4.95141742081595,"1206","Day 5","Ambient","Mcapitata","M-G1","Day 5 Ambient Mcapitata"
-6.4287716289794,"1265","Day 1","High","Mcapitata","M-G1","Day 1 High Mcapitata"
7.85216399346811,"2026","Day 3","High","Mcapitata","M-G1","Day 3 High Mcapitata"
-5.9572809583124,"1304","Day 1","Ambient","Mcapitata","M-G1","Day 1 Ambient Mcapitata"
-2.77205752451293,"1774","Day 1","High","Mcapitata","M-G1","Day 1 High Mcapitata"
12.8615030836254,"2195","Day 3","Ambient","Mcapitata","M-G1","Day 3 Ambient Mcapitata"
10.3905555171689,"2668","Day 5","High","Mcapitata","M-G1","Day 5 High Mcapitata"
-0.629340520422968,"1291","Day 7","High","Mcapitata","M-G1","Day 7 High Mcapitata"
-6.72244045853933,"1154","Day 1","Ambient","Mcapitata","M-G1","Day 1 Ambient Mcapitata"
8.6563274657657,"1581","Day 7","High","Mcapitata","M-G1","Day 7 High Mcapitata"
-6.58158447281385,"1706","Day 7","Ambient","Mcapitata","M-G1","Day 7 Ambient Mcapitata"
4.21447412643417,"1494","Day 5","Ambient","Mcapitata","M-G1","Day 5 Ambient Mcapitata"
